istat_code,municipality_name,population_2025,population_0_14_2025,population_15_64_2025,population_65_plus_2025,population_2019,population_0_14_2019,population_15_64_2019,population_65_plus_2019,population_change_absolute,population_change_percent,share_65_plus_2019,share_65_plus_2025,population_comparability
022001,Ala,8888,1219,5694,1975,8733.0,1349.0,5639.0,1745.0,155.0,1.7748769036986145,19.981678690026335,22.22097209720972,comparable_on_2025_geography
090002,Alà dei Sardi,1758,212,1081,465,1837.0,268.0,1107.0,462.0,-79.0,-4.3004899292324446,25.149700598802394,26.450511945392492,comparable_on_2025_geography
001003,Ala di Stura,463,48,298,117,442.0,48.0,272.0,122.0,21.0,4.751131221719457,27.601809954751133,25.26997840172786,comparable_on_2025_geography
018001,Alagna,809,83,555,171,824.0,89.0,559.0,176.0,-15.0,-1.820388349514563,21.35922330097087,21.137206427688504,comparable_on_2025_geography
002002,Alagna Valsesia,725,75,474,176,709.0,75.0,469.0,165.0,16.0,2.2566995768688294,23.2722143864598,24.275862068965516,comparable_on_2025_geography
068002,Alanno,3332,404,2026,902,3454.0,398.0,2167.0,889.0,-122.0,-3.532136653155762,25.738274464389114,27.07082833133253,comparable_on_2025_geography
009001,Alassio,9960,852,5943,3165,10665.0,1059.0,6382.0,3224.0,-705.0,-6.610407876230662,30.229723394280356,31.77710843373494,comparable_on_2025_geography
060003,Alatri,27518,3415,17723,6380,27852.0,3816.0,18457.0,5579.0,-334.0,-1.1991957489587821,20.030877495332472,23.184824478523147,comparable_on_2025_geography
004003,Alba,30987,3540,19332,8115,31459.0,3931.0,19494.0,8034.0,-472.0,-1.5003655551670427,25.538001843669537,26.188401587762613,comparable_on_2025_geography
067001,Alba Adriatica,13275,1597,8731,2947,12390.0,1578.0,8215.0,2597.0,885.0,7.142857142857142,20.960451977401128,22.199623352165727,comparable_on_2025_geography
095003,Albagiara,227,17,121,89,248.0,23.0,129.0,96.0,-21.0,-8.46774193548387,38.70967741935484,39.20704845814978,comparable_on_2025_geography
015005,Albairate,4714,520,3060,1134,4674.0,627.0,3066.0,981.0,40.0,0.8557980316645273,20.98844672657253,24.0560033941451,comparable_on_2025_geography
065003,Albanella,6315,871,3974,1470,6387.0,837.0,4193.0,1357.0,-72.0,-1.1272898074213245,21.246281509315796,23.27790973871734,comparable_on_2025_geography
076003,Albano di Lucania,1286,136,817,333,1387.0,152.0,939.0,296.0,-101.0,-7.281903388608507,21.341023792357603,25.894245723172627,comparable_on_2025_geography
058003,Albano Laziale,39662,4804,25625,9233,39774.0,5686.0,26013.0,8075.0,-112.0,-0.2815909890883492,20.302207472218033,23.279209318743384,comparable_on_2025_geography
016003,Albano Sant'Alessandro,8278,1092,5543,1643,8231.0,1280.0,5496.0,1455.0,47.0,0.5710120277001579,17.677074474547442,19.84778932109205,comparable_on_2025_geography
002003,Albano Vercellese,310,36,169,105,315.0,34.0,182.0,99.0,-5.0,-1.5873015873015872,31.428571428571427,33.87096774193548,comparable_on_2025_geography
023002,Albaredo d'Adige,5254,698,3318,1238,5229.0,709.0,3401.0,1119.0,25.0,0.47810288774144194,21.39988525530694,23.562999619337646,comparable_on_2025_geography
014001,Albaredo per San Marco,294,19,172,103,290.0,17.0,175.0,98.0,4.0,1.3793103448275863,33.793103448275865,35.034013605442176,comparable_on_2025_geography
034001,Albareto,2060,188,1184,688,2133.0,198.0,1257.0,678.0,-73.0,-3.4224097515236758,31.78621659634318,33.398058252427184,comparable_on_2025_geography
004004,Albaretto della Torre,215,17,129,69,226.0,23.0,132.0,71.0,-11.0,-4.867256637168142,31.41592920353982,32.093023255813954,comparable_on_2025_geography
