isil,previous_name_original,previous_name_normalized
IT-AQ0154,"Biblioteca Polo Coppito, Facoltà di medicina e chirurgia e Facoltà di psicologia dell'Università degli studi dell'Aquila","Biblioteca Polo Coppito, Facoltà di medicina e chirurgia e Facoltà di psicologia dell'Università degli studi dell'Aquila"
IT-AQ0156,Biblioteca della Facoltà di Lettere e Filosofia dell'Università degli Studi dell'Aquila,Biblioteca della Facoltà di Lettere e Filosofia dell'Università degli Studi dell'Aquila
IT-AQ0156,Biblioteca della Facoltà di magistero dell'Università degli studi dell'Aquila,Biblioteca della Facoltà di magistero dell'Università degli studi dell'Aquila
IT-AQ0156,"Biblioteca Polo Centro, ex Facoltà di lettere e filosofia dellUniversità degli studi dell'Aquila","Biblioteca Polo Centro, ex Facoltà di lettere e filosofia dellUniversità degli studi dell'Aquila"
IT-AQ0157,Biblioteca Polo Coppito - Sede di scienze e biotenologie - Università degli studi dell'Aquila,Biblioteca Polo Coppito - Sede di scienze e biotenologie - Università degli studi dell'Aquila
IT-AQ0158,"Biblioteca della Facoltà di ingegneria, Università degli studi dell'Aquila","Biblioteca della Facoltà di ingegneria, Università degli studi dell'Aquila"
IT-AQ0158,"Biblioteca Polo Roio, ex Facoltà di ingegneria, Università degli studi dell'Aquila ","Biblioteca Polo Roio, ex Facoltà di ingegneria, Università degli studi dell'Aquila"
IT-AQ0159,Biblioteca Muzio Febonio,Biblioteca Muzio Febonio
IT-AQ0162,Biblioteca comunale,Biblioteca comunale
IT-AQ0167,"Biblioteca Polo Centro, ex Facoltà di economia, Università degli studi dell'Aquila","Biblioteca Polo Centro, ex Facoltà di economia, Università degli studi dell'Aquila"
IT-AQ0167,Biblioteca Polo Roio - Facoltà di  economia - Università degli studi dell'Aquila ,Biblioteca Polo Roio - Facoltà di economia - Università degli studi dell'Aquila
IT-AQ0168,Biblioteca della CCIAA ,Biblioteca della CCIAA
IT-AQ0174,Biblioteca Polo Centro - ex Facoltà di scienze della formazione dell'Università degli studi dell'Aquila,Biblioteca Polo Centro - ex Facoltà di scienze della formazione dell'Università degli studi dell'Aquila
IT-AQ0176,Biblioteca dell'Associazione Donne Melusine,Biblioteca dell'Associazione Donne Melusine
