isil,sbn_code,acnp_code,cei_code,cmbs_code,rism_code,census_year,updated_date,name_original,name_normalized,address_original,address_normalized,hamlet,postal_code,municipality_name,istat_code,province_name,province_istat_code,province_abbrev,region,latitude_original,longitude_original,restricted_access,disabled_access,administrative_type,functional_type,owning_entity,source_status,latitude,longitude,coordinate_quality_flag
IT-VA0011,,,,,,2023,2025-11-26,"Biblioteca comunale ""Carla Rossi In Porro""","Biblioteca comunale ""Carla Rossi In Porro""",via Concordia,via Concordia,,21010,Arsago Seprio,012005,Varese,012,VA,LOMBARDIA,45.6899528,8.7350137,False,Accessibile,Comune,Pubblica,Comune di Arsago Seprio,,45.6899528,8.7350137,valid_world_range
IT-VA0012,,,,,,2023,2025-11-26,Biblioteca civica Don Achille Triacca,Biblioteca civica Don Achille Triacca,"via Benizzi Castellani, 1","via Benizzi Castellani, 1",,21022,Azzate,012006,Varese,012,VA,LOMBARDIA,45.7808159,8.796108199999999,False,Parzialmente accessibile,Comune,Pubblica,Comune di Azzate,,45.7808159,8.796108199999999,valid_world_range
IT-VA0013,,,,,,2023,2025-12-23,Biblioteca comunale,Biblioteca comunale,"via don B. Parietti, 6","via don B. Parietti, 6",,21020,Barasso,012008,Varese,012,VA,LOMBARDIA,45.8407525,8.755969600000002,False,Accessibile,Comune,Pubblica,Comune di Barasso,,45.8407525,8.755969600000002,valid_world_range
IT-VA0014,,,,,,,2024-09-19,"Biblioteca ""BibliUnione""","Biblioteca ""BibliUnione""",Via Matteotti 2,Via Matteotti 2,Bardello,21009,Bardello con Malgesso e Bregano,012144,Varese,012,VA,LOMBARDIA,45.8355579,8.6972692,False,,Comune,Pubblica,Comune di Bardello,,45.8355579,8.6972692,valid_world_range
IT-VA0016,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"Piazza della Chiesa, 2","Piazza della Chiesa, 2",,21050,Besano,012011,Varese,012,VA,LOMBARDIA,45.889335,8.890114,False,Accessibile,Comune,Pubblica,Comune di Besano,,45.889335,8.890114,valid_world_range
IT-VA0018,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"Piazza Giuseppe Mazzini, 16","Piazza Giuseppe Mazzini, 16",,21010,Besnate,012012,Varese,012,VA,LOMBARDIA,45.6998818,8.7641636,False,Accessibile,Comune,Pubblica,Comune di Besnate,,45.6998818,8.7641636,valid_world_range
IT-VA0019,,,,,,2023,2025-11-26,Biblioteca Popolare Ornella Contini,Biblioteca Popolare Ornella Contini,"via Giuseppe Mazzini, 10","via Giuseppe Mazzini, 10",,21023,Besozzo,012013,Varese,012,VA,LOMBARDIA,45.8478779,8.6692779,False,Non accessibile,Comune,Pubblica,Comune di Besozzo,,45.8478779,8.6692779,valid_world_range
IT-VA0020,,,,,,2023,2023-12-22,Biblioteca comunale di Besozzo,Biblioteca comunale di Besozzo,Via Mazzini 10,Via Mazzini 10,,21023,Besozzo,012013,Varese,012,VA,LOMBARDIA,45.8481034,8.6697058,False,Parzialmente accessibile,Comune,Pubblica,Comune di Besozzo,,45.8481034,8.6697058,valid_world_range
IT-VA0022,,,,,,2023,2025-11-26,"Biblioteca civica ""Antonio Zanoletti""","Biblioteca civica ""Antonio Zanoletti""","Piazza Don Beniamino Gandini, 2","Piazza Don Beniamino Gandini, 2",,21020,Bodio Lomnago,012016,Varese,012,VA,LOMBARDIA,45.7834854,8.7534486,False,Parzialmente accessibile,Comune,Pubblica,Comune di Bodio Lomnago,,45.7834854,8.7534486,valid_world_range
IT-VA0023,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"piazza della Chiesa, 2","piazza della Chiesa, 2",,21020,Brebbia,012017,Varese,012,VA,LOMBARDIA,45.8284558,8.6503158,False,Accessibile,Comune,Pubblica,Comune di Brebbia,,45.8284558,8.6503158,valid_world_range
IT-VA0024,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"via G. Cerini, 2","via G. Cerini, 2",,21030,Brenta,012019,Varese,012,VA,LOMBARDIA,45.8929177,8.6845931,False,Accessibile,Comune,Pubblica,Comune di Brenta,,45.8929177,8.6845931,valid_world_range
IT-VA0026,,,,,,2023,2025-11-26,Biblioteca comunale,Biblioteca comunale,"piazza  Generale Enrico Riziero Galvaligi, 2","piazza Generale Enrico Riziero Galvaligi, 2",,21030,Brinzio,012021,Varese,012,VA,LOMBARDIA,45.8884994,8.790742999999999,False,Non accessibile,Comune,Pubblica,Comune di Brinzio,,45.8884994,8.790742999999999,valid_world_range
IT-VA0027,,,,,,2023,2025-11-26,Biblioteca comunale Antonio Ghiringhelli,Biblioteca comunale Antonio Ghiringhelli,"via Verdi, 17","via Verdi, 17",,21020,Brunello,012023,Varese,012,VA,LOMBARDIA,45.7642433,8.7967418,False,Parzialmente accessibile,Comune,Pubblica,Comune di Brunello,,45.7642433,8.7967418,valid_world_range
IT-VA0028,,,,,,2021,2022-02-07,Biblioteca comunale,Biblioteca comunale,Via Cavour,Via Cavour,,21020,Buguggiate,012025,Varese,012,VA,LOMBARDIA,45.7831942,8.80635,False,,Comune,Pubblica,Comune di Buguggiate,Biblioteca non più esistente,45.7831942,8.80635,valid_world_range
IT-VA0029,,,,,I-BUAc,2023,2025-11-26,Biblioteca comunale Gian Battista Roggia,Biblioteca comunale Gian Battista Roggia,"via Marliani, 7","via Marliani, 7",,21052,Busto Arsizio,012026,Varese,012,VA,LOMBARDIA,45.6137738,8.851240200000001,False,Accessibile,Comune,Pubblica,Comune di Busto Arsizio,,45.6137738,8.851240200000001,valid_world_range
IT-VA0030,PBEZ4,,CEI400B00019,,I-BUAsg,2026,2026-05-14,Biblioteca Capitolare di San Giovanni Battista,Biblioteca Capitolare di San Giovanni Battista,Via don Minzoni 1,Via don Minzoni 1,,21052,Busto Arsizio,012026,Varese,012,VA,LOMBARDIA,45.61231,8.85285,False,Non accessibile,Enti ecclesiastici,Specializzata,Parrocchia di San Giovanni Battista,,45.61231,8.85285,valid_world_range
