library,isil,libraryName,materialLabel,quantity
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0290,IT-RM0290,Biblioteca Angelica,manoscritti,2810
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RI0179,IT-RI0179,Biblioteca Angelo Di Mario dell'Associazione Angelo Di Mario APS,manoscritti,5000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0988,IT-RM0988,"Biblioteca Angelo Monteverdi per gli studi filologici, linguistici e letterari - Sapienza Università di Roma",manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VE0253,IT-VE0253,Biblioteca Annessa All'Archivio Storico del Patriarcato di Venezia,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BR0028,IT-BR0028,Biblioteca Annibale di Francia,manoscritti,3
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0050,IT-AQ0050,Biblioteca Anton Ludovico  Antinori della Deputazione di storia patria negli Abruzzi - DASP,manoscritti,8
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PD0514,IT-PD0514,Biblioteca Antoniana,manoscritti,828
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0195,IT-RM0195,Biblioteca Antonino De Stefano,manoscritti,13
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VB0024,IT-VB0024,Biblioteca Antonio Massara del Museo del paesaggio,manoscritti,23
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-TA0075,IT-TA0075,Biblioteca Apulia,manoscritti,30
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-OR0033,IT-OR0033,Biblioteca Arborense,manoscritti,1000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM1449,IT-RM1449,"Biblioteca Archivia. Archivi, Biblioteche, Centri di documentazione delle donne APS",manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PT0137,IT-PT0137,Biblioteca Archivio Roberto Marini - Oltre il secolo breve,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM1675,IT-RM1675,Biblioteca Archivio della Scuola Romana - Musei di Villa Torlonia,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI0602,IT-MI0602,Biblioteca Archivio per la storia del movimento sociale cattolico in Italia dell'Università cattolica del Sacro Cuore,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-SR0052,IT-SR0052,Biblioteca Arcivescovile Alagoniana,manoscritti,75
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PZ0001,IT-PZ0001,Biblioteca Arcivescovile di Acerenza,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MT0024,IT-MT0024,Biblioteca Arcivescovile di Matera,manoscritti,14
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RE0088,IT-RE0088,Biblioteca Armando Gentilucci del Conservatorio di musica di Reggio Emilia e Castelnovo ne' Monti,manoscritti,560
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VA0074,IT-VA0074,Biblioteca Armocida,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CA0498,IT-CA0498,Biblioteca Arti e Mestieri dello Spettacolo,manoscritti,27
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0022,IT-FI0022,Biblioteca Attilio Mori del Museo Storico della Cartografia Italiana - I.G.M. e Biblioteca Militare del Presidio di Firenze,manoscritti,530
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-UD0243,IT-UD0243,Biblioteca Bartoliniana,manoscritti,176
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BR0005,IT-BR0005,Biblioteca Beato Domenico della Madre di Dio,manoscritti,50
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-AQ0115,IT-AQ0115,Biblioteca Beato Tommaso da Celano,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-MI1142,IT-MI1142,Biblioteca Benedettine Abbazia Viboldone,manoscritti,2
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0263,IT-FI0263,Biblioteca Berenson. The Harvard University Center for Italian Renaissance Studies,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BG0344,IT-BG0344,Biblioteca Betty Ambiveri,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VI0149,IT-VI0149,Biblioteca Bibliomuseo Palazzo Baccin di Nove,manoscritti,1
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-FI0215,IT-FI0215,Biblioteca Biomedica - Università degli studi di Firenze,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CS0199,IT-CS0199,Biblioteca Borretti,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-LE0249,IT-LE0249,Biblioteca Calasanziana,manoscritti,150
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BS0012,IT-BS0012,Biblioteca Camuna monsignor Andrea Morandini,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VV0031,IT-VV0031,Biblioteca Capialbi Afan De Rivera,manoscritti,
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BN0010,IT-BN0010,Biblioteca Capitolare,manoscritti,2073
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PD0093,IT-PD0093,Biblioteca Capitolare,manoscritti,4000
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VR0056,IT-VR0056,Biblioteca Capitolare,manoscritti,1283
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-BA0142,IT-BA0142,Biblioteca Capitolare Finia,manoscritti,25
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-PZ0098,IT-PZ0098,"Biblioteca Capitolare Parrocchiale ""Margherita De Sarlo”",manoscritti,20
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-VA0030,IT-VA0030,Biblioteca Capitolare di San Giovanni Battista,manoscritti,80
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-RM0292,IT-RM0292,Biblioteca Capranicense,manoscritti,25
https://ameliamorsellino.github.io/biblioteche-fantasma/resource/library/IT-CB0014,IT-CB0014,Biblioteca Caradonio di Blasio,manoscritti,10
